cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
45,19,1,52,0.0526315789473684,2.736842105263158,52.0,19.0,60761,80,17,19,52,1,1.0,1.0,1.0,0.9640541410352405,1
46,20,1,52,0.05,2.6,52.0,20.0,55981,80,17,20,52,1,1.0,1.0,1.0,0.9640541410352405,1
47,19,1,52,0.0526315789473684,2.736842105263158,52.0,19.0,15233,80,17,19,52,1,1.0,1.0,1.0,0.9640541410352405,1
70,10,1,64,0.1,6.4,64.0,10.0,22178,80,6,10,64,1,1.0,1.0,1.0,0.8085615376424597,1
147,13,1,46,0.0769230769230769,3.5384615384615383,46.0,13.0,18,0,1,13,46,1,1.0,1.0,1.0,-1.0573497030709091,1
151,10,1,52,0.1,5.2,52.0,10.0,24709,80,17,10,52,1,1.0,1.0,1.0,0.9640541410352405,1
163,10,1,64,0.1,6.4,64.0,10.0,9850,80,6,10,64,1,1.0,1.0,1.0,0.8085615376424597,1
205,13,1,46,0.0769230769230769,3.5384615384615383,46.0,13.0,18,0,1,13,46,1,1.0,1.0,1.0,-1.0573497030709091,1
236,10,1,54,0.1,5.4,54.0,10.0,80,34725,6,10,54,1,-1.0,-1.0,-1.0,0.6530689342496789,1
5,16,1,54,0.0625,3.375,54.0,16.0,13,0,1,16,54,1,1.0,1.0,1.0,1.0,1
6,16,1,54,0.0625,3.375,54.0,16.0,14,0,1,16,54,1,-1.0,-1.0,-1.0,-1.0,1
9,16,1,47,0.0625,2.9375,47.0,16.0,8,10,1,16,47,1,1.0,1.0,1.0,1.0,1
10,16,1,47,0.0625,2.9375,47.0,16.0,0,10,1,16,47,1,-1.0,-1.0,-1.0,-1.0,1
95,17,1,54,0.0588235294117647,3.176470588235294,54.0,17.0,13,0,1,17,54,1,1.0,1.0,1.0,1.0,1
96,17,1,54,0.0588235294117647,3.176470588235294,54.0,17.0,14,0,1,17,54,1,-1.0,-1.0,-1.0,-1.0,1
119,18,2,108,0.1111111111111111,6.0,54.0,9.0,13,0,1,18,108,2,1.0,1.0,1.0,1.0,1
120,18,2,108,0.1111111111111111,6.0,54.0,9.0,14,0,1,18,108,2,-1.0,-1.0,-1.0,-1.0,1
143,19,2,108,0.1052631578947368,5.684210526315789,54.0,9.5,13,0,1,19,108,2,1.0,1.0,1.0,1.0,1
144,19,2,108,0.1052631578947368,5.684210526315789,54.0,9.5,14,0,1,19,108,2,-1.0,-1.0,-1.0,-1.0,1
165,18,1,46,0.0555555555555555,2.5555555555555554,46.0,18.0,18,0,1,18,46,1,1.0,1.0,1.0,1.0,1
