type, timestamp, datapath_id, n_buffers, n_tables, capabilities, cookie, command, flags, idle_timeout, hard_timeout, priority, buffer_id, out_port, data,-./01234567, in_port, total_len, reason, eth_dst, eth_src, duration_sec, duration_nsec, packet_count, byte_count
 FLOWREMOVED, 1711750744.748169, 2,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", 42:ef:19:3e:03:a4, d2:1b:ec:bf:cb:d6, 14, 442000000, 4, 280
 FLOWREMOVED, 1711750744.751735, 3,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", d2:1b:ec:bf:cb:d6, 42:ef:19:3e:03:a4, 15, 422000000, 4, 280
 FLOWREMOVED, 1711750744.7542331, 3,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", 42:ef:19:3e:03:a4, d2:1b:ec:bf:cb:d6, 14, 399000000, 4, 280
 FLOWREMOVED, 1711750749.3108768, 2,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", d2:1b:ec:bf:cb:d6, 56:cd:01:dc:9b:c7, 15, 523000000, 4, 280
 FLOWREMOVED, 1711750749.3157578, 2,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", 56:cd:01:dc:9b:c7, d2:1b:ec:bf:cb:d6, 14, 594000000, 4, 280
 FLOWREMOVED, 1711750749.322647, 4,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", d2:1b:ec:bf:cb:d6, 56:cd:01:dc:9b:c7, 15, 582000000, 4, 280
 FLOWREMOVED, 1711750749.327339, 4,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", 56:cd:01:dc:9b:c7, d2:1b:ec:bf:cb:d6, 14, 525000000, 3, 182
 FLOWREMOVED, 1711750749.334937, 3,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", d2:1b:ec:bf:cb:d6, 56:cd:01:dc:9b:c7, 15, 549000000, 4, 280
 FLOWREMOVED, 1711750749.341409, 3,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", 56:cd:01:dc:9b:c7, d2:1b:ec:bf:cb:d6, 14, 542000000, 3, 182
 PACKETIN, 1711750749.84988, 1,,,,,,,,,, 4294967295,, bB\xef\x19\x03\xa4\xfa\x83\xc4\xb6\x8c\x08\x00E\x00\x00T\xb5\xff@\x00@\x01p\xa6\n\x00\x00\x01\n\x00\x00\x03\x08\x00u\xd0d\xcf\x00\x01]\x07f\x00\x00\x00\x00\xed\xe7\x0c\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 1, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750749.856952, 2,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, 42:ef:19:3e:03:a4, fa:83:c4:22:b6:8c,,,,
 PACKETIN, 1711750749.856952, 2,,,,,,,,,, 4294967295,, bB\xef\x19\x03\xa4\xfa\x83\xc4\xb6\x8c\x08\x00E\x00\x00T\xb5\xff@\x00@\x01p\xa6\n\x00\x00\x01\n\x00\x00\x03\x08\x00u\xd0d\xcf\x00\x01]\x07f\x00\x00\x00\x00\xed\xe7\x0c\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750749.8868082, 3,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, 42:ef:19:3e:03:a4, fa:83:c4:22:b6:8c,,,,
