Unnamed: 0,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
10,35,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,7987,80,6,90,640,10,1.0,1.0,1.0,1.0,1
11,39,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,7987,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
12,43,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,13278,80,6,90,640,10,1.0,1.0,1.0,1.0,1
13,44,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,33161,80,6,90,640,10,1.0,1.0,1.0,1.0,1
14,46,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,13278,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
15,47,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,33161,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
16,676,17,1,64,0.0588235294117647,3.764705882352941,64.0,17.0,36615,80,6,17,64,1,1.0,1.0,1.0,1.0,1
17,677,18,1,64,0.0555555555555555,3.5555555555555554,64.0,18.0,63151,80,6,18,64,1,1.0,1.0,1.0,1.0,1
18,678,18,1,64,0.0555555555555555,3.5555555555555554,64.0,18.0,33893,80,6,18,64,1,1.0,1.0,1.0,1.0,1
19,679,18,1,64,0.0555555555555555,3.5555555555555554,64.0,18.0,57325,80,6,18,64,1,1.0,1.0,1.0,1.0,1
20,680,18,1,64,0.0555555555555555,3.5555555555555554,64.0,18.0,39368,80,6,18,64,1,1.0,1.0,1.0,1.0,1
21,681,18,1,64,0.0555555555555555,3.5555555555555554,64.0,18.0,7987,80,6,18,64,1,1.0,1.0,1.0,1.0,1
22,682,18,1,64,0.0555555555555555,3.5555555555555554,64.0,18.0,13278,80,6,18,64,1,1.0,1.0,1.0,1.0,1
23,683,18,1,64,0.0555555555555555,3.5555555555555554,64.0,18.0,33161,80,6,18,64,1,1.0,1.0,1.0,1.0,1
0,4,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.6495190528383289,0.6495190528383289,-0.4685212856658182,0.5933908290969269,0
1,5,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.6495190528383289,0.6495190528383289,-0.4685212856658182,0.5933908290969269,0
2,6,10,5,475,0.5,47.5,95.0,2.0,43884,80,6,10,475,5,0.6495190528383289,1.659882023920174,1.0932163332202425,-0.1186781658193852,0
3,11,10,5,742,0.5,74.2,148.4,2.0,80,43884,6,10,742,5,1.659882023920174,0.6495190528383289,1.0932163332202425,2.729597813845863,0
4,14,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.8660254037844387,0.1443375672974063,-0.4685212856658182,-0.1186781658193852,0
5,17,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,0.1443375672974063,-0.8660254037844387,-0.4685212856658182,0.5933908290969269,0
6,23,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-1.3712068893253613,0.6495190528383289,-0.4685212856658182,-0.8307471607356973,0
7,24,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.6495190528383289,-1.3712068893253613,-0.4685212856658182,0.5933908290969269,0
8,30,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.6495190528383289,0.1443375672974063,-0.4685212856658182,0.5933908290969269,0
9,33,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.1443375672974063,0.6495190528383289,-0.4685212856658182,0.5933908290969269,0
10,34,10,6,541,0.6,54.1,90.16666666666669,1.6666666666666667,43890,80,6,10,541,6,0.6495190528383289,1.659882023920174,1.0932163332202425,-0.1186781658193852,0
11,39,10,4,676,0.4,67.6,169.0,2.5,80,43890,6,10,676,4,1.659882023920174,0.6495190528383289,1.0932163332202425,2.729597813845863,0
12,46,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.6495190528383289,1.659882023920174,2.654953952106303,0.5933908290969269,0
13,51,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,1.659882023920174,0.6495190528383289,2.654953952106303,-0.8307471607356973,0
14,53,10,6,553,0.6,55.3,92.16666666666669,1.6666666666666667,50964,80,6,10,553,6,0.6495190528383289,1.659882023920174,2.654953952106303,-0.1186781658193852,0
15,63,10,5,742,0.5,74.2,148.4,2.0,80,50964,6,10,742,5,1.659882023920174,0.6495190528383289,2.654953952106303,2.729597813845863,0
16,65,10,5,463,0.5,46.3,92.6,2.0,40034,80,6,10,463,5,0.1443375672974063,1.659882023920174,-0.4685212856658182,-0.8307471607356973,0
17,70,10,4,676,0.4,67.6,169.0,2.5,80,40034,6,10,676,4,1.659882023920174,0.1443375672974063,-0.4685212856658182,2.729597813845863,0
18,74,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.8660254037844387,-0.8660254037844387,-0.4685212856658182,-0.8307471607356973,0
19,83,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,-0.8660254037844387,-0.8660254037844387,-0.4685212856658182,-0.1186781658193852,0
20,87,10,4,409,0.4,40.9,102.25,2.5,48272,80,6,10,409,4,-0.8660254037844387,1.659882023920174,-0.4685212856658182,-0.8307471607356973,0
21,92,10,4,676,0.4,67.6,169.0,2.5,80,48272,6,10,676,4,1.659882023920174,-0.8660254037844387,-0.4685212856658182,2.729597813845863,0
22,97,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.6495190528383289,0.1443375672974063,-0.4685212856658182,0.5933908290969269,0
23,100,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.1443375672974063,0.6495190528383289,-0.4685212856658182,0.5933908290969269,0
24,102,12,7,627,0.5833333333333334,52.25,89.57142857142857,1.7142857142857142,50972,80,6,12,627,7,0.6495190528383289,1.659882023920174,2.654953952106303,-0.1186781658193852,0
